འདམ་པ་	P འདམས་ I འདོམས་	избирать	wählen	05 Leech leech
འདར་བ་		дрожать	zittern	05 Leech leech
འདི་		этот	dieser	05 06
དཔུང་		армия, войско	Heer, Armee	05 Leech leech
དཔུང་པ་		плечо	Oberarm, Schulter	05 Leech
ཕ་	[1] + [2]	[1] отец<br>[2] противополоное, расположенное с другой стороны	[1] Vater<br>[2] das Jenseitige, auf der anderen Seite Befindliche	05 10
ཕོ་		мужчина;<br />мужской;<br>см. བུ་ཕོ་	Mann;<br />männlich;<br>siehe བུ་ཕོ་	5
ཕོ་ཉ་		посол	Bote	5
བག་		чувство приличия, осмотрительность	Achtsamkeit, Aufmerksamkeit, Sorge, Sorgfalt;<br />Ergebenheit	05 Leech leech
བོད་		Тибет	Tibet	5
བླ་	[1] + [2]	[1] нечто высшее; быть лучшим [обычно с глаголом в совершенном виде]<br />[2] душа; зловещее предзнаменование	[1] das Obere, Höhere; höher; besser (sein) [gewöhnlich mit dem Perfektstamm eines Verbes konstruiert]<br />[2] Seele; ominöses Symbol	05 10
དབང་		мощь, власть;<br />см. རང་དབང་	Macht, Gewalt;<br />siehe རང་དབང་	5
དབྱངས་		голос, звук;<br>благозвучие	Stimme, Klang;<br>Wohlklang	05 Leech
མ་	[1] + [2] + [3]	[1] мать; см. ཕ་མ་<br />[2] находящийся внизу<br />[3] не [наречие отрицания, vgl. 10.3-4]	[1] Mutter; siehe ཕ་མ་<br />[2] das unten Befindliche<br />[3] nicht [Negationsadverb, vgl. 10.3-4]	5
མང་བ་	P མངས་	быть многочисленным	zahlreich, viel sein	5
མེད་པ་		не иметься, отсутствовать	nicht sein, nicht vorhanden sein	5
མོ་		женщина;<br>женский	Frau;<br>weiblich	5
གཙང་བ་		быть чистым	rein (sein)	05 Leech
གཕོ་བོ་		некто лучший	der Beste	5
རྩེ་(མོ་)		острие, цель	Spitze, Ziel, Gipfel, höchster Punkt von etwas	5
རྩེ་བ་		играть, шутить, весело проводить время	spielen, scherzen, sich vergnügen	5
ཚོང་		торговля;<br>см. ཆང་ཚོང་(མ་)	Handel, Gewerbe;<br>siehe ཆང་ཚོང་(མ་)	5
མཛའ་བ་		дружить, любить (друзей и родственников)	befreundet sein, lieben (bei Freunden und Verwandten)	05 10 Leech
ཞལ་		(почт. для ཁ་)<br>рот, лицо	(resp. für ཁ་)<br>Mund, Gesicht	5
ཞིང་		поле	Feld	5
ཟ་བ་	P ཟོས་, བཟས་ F བཟའ་ I ཟོ(ས)་	есть;<br />см. གདོན་མི་ཟ་བར་	essen;<br />siehe གདོན་མི་ཟ་བར་	05 09
ཟབ་པ་		быть глубоким<br />глубина	tief (sein);<br />Tiefe	05 Leech
བཟང་བ་		быть хорошим, красивым, благородным	gut, schön, edel, trefflich sein	05 Leech
གཡོག་པོ་<br />གཡོག་		'низший', слуга, прислуга;<br />см. འཁོར་གཡོག་	'der Untere', Diener,&nbsp;Bediensteter;<br />siehe འཁོར་གཡོག་	05 leech
རིང་བ་<br>རིང་		быть длинным;<br />далеко от (དང་)	lang sein;<br />weit (enfernt) sein von (དང་)	05 09
རེས་		(столько-то) раз	Mal (einmal usw.)	5
སུམ་ཅུ་དགུ་		тридцать девять	39	5
གསུམ་		три<br>краткая форма в составных числительных: སུམ་; см. ཕུན་སུམ་ཚོགས་པ་	drei<br>Nebenform in Komposita: སུམ་; siehe ཕུན་སུམ་ཚོགས་པ་	5
བསྲེག་ལུགས་		'таять от жара', топленое масло (для подношений), топленое масло [skr. <i>āhuti</i>-]	'durch Verbrennen geschmolzen', Schmelzbutter (für das Opferfeuer), Ghee [skr. <i>āhuti</i>-]	05 Leech
ལྷ་		божество;<br>король, господин [skr. <i>deva</i>-]	Gott;<br>König, Herr [skr. <i>deva</i>-]	5
ལྷག་		больше;<br>большее	mehr;<br>das, was mehr ist	5
ཁ་ཅིག་		некоторые	einige	6
ཁྱིམ་		дом	Haus	6
འགྲོ་བ་	PI སོང་	"ходить;<br />ход, движениее;<br />перемена;<br />живое существо, ""могущее ходить"";<br />совокупность живых сущестьв, мир;<br />двигаться к, попадать в (ཏུ་);<br />перерождение [skr. <i>gati</i>-]<br />см. ཀུན་ནས་-, རྗེས་སུ་-, ཉེ་བར་-, དུད་འགྲོ་, དབང་དུ་-,&nbsp;&nbsp;རབ་ཏུ་"	gehen, fortgehen;<br />Gang, Lauf;<br />Wandel;<br />das, was geht, Lebewesen;<br />die Gesamtheit der Lebewesen, die Welt;<br />werden zu, geraten in (ཏུ་);<br />Wiedergeburtsform [skr. <i>gati</i>-]<br />siehe ཀུན་ནས་-, རྗེས་སུ་-, ཉེ་བར་-, དུད་འགྲོ་, དབང་དུ་-,&nbsp;&nbsp;རབ་ཏུ་-	6
རྒན་པོ་		старый;<br>старик	alt;<br>alter Mann, Alter	6
རྒྱ་		ширь, протяжѐнность, равнина	Weite, Ausdehnung, Ebene	06 Leech
རྒྱ་གར་		'белая равнина', Индия [གར་ краткая форма для དཀར་]	'weiße Ebene', Indien [གར་ steht im Kompositum für དཀར་]	6
རྒྱ་བ་<br>རྒྱ་		быть протяженным	weit, ausgedehnt sein	6
རྒྱ་མཚོ་		'протяженное море', океан	'ausgedehnter See', Meer, Ozean	6
རྒྱལ་པོ་		царь	König	6
ཆུ་		вода	Wasser;<br />siehe auch die Zusammensetzungen mit ཆུའི་ im Vorderglied	6
ཆུ་བོ་		ручей, река	Bach, Fluss	6
ཆུང་དུ་		маленький	klein	6
ཆེན་པོ་		большой;<br>см. སྒྲ་-, ཤིང་རྟ་-, སེམས་ཅན་-, ལྷ་	groß;<br>siehe སྒྲ་-, ཤིང་རྟ་-, སེམས་ཅན་-, ལྷ་-	6
འཆར་བ་		восходить (солнце)	aufgehen (Sonne)	06 leech
འཆི་བ་	P ཤི་	умирать	sterben	06 Leech
ཇི་ལྟར་		как, каким	wie, in welcher Weise;<br />wie zum Beispiel, nämlich, dass [zu Beginn der wörtlichen Rede; skr. <i>yathā</i>];<br />sodass	06 Leech
ཉ་		рыба;<br>полнолуние [skr. <i>pūrṇā</i>-, <i>pūrṇamās</i>-]	Fisch;<br>Vollmond [skr. <i>pūrṇā</i>-, <i>pūrṇamās</i>-]	6
ཉམས་པ་		потерпеть ущерб, пострадать;<br />ущерб;<br />см. མ་ཉམས་པ་	dahinschwinden, verfallen, zugrunde gehen;<br />Schaden, Schädigung;<br />verletzt, geschädigt werden;<br />siehe མ་ཉམས་པ་	06 Leech
ཉི་མ་		солнце;<br>день	Sonne;<br>Tag	6
གཉེན་		приятель;<br />друг	Verwandter;<br />Freund	6
སྟོན་པ་	PF བསྟོན་	показывать, объяснять; учить;<br />учитель;<br />см. ཁ་སྟོན་, ཉེ་བར་སྟོན་པ་	zeigen, erklären, lehren;<br />Lehrer, Religionslehrer, Heilslehrer;<br />siehe ཁ་སྟོན་, ཉེ་བར་སྟོན་པ་	06 12 Leech
དོ་		сей, этот	dieser [kaum gebrauchter Demonstrativstamm]	6
དྲུང་དུ་		около, вблизи, к (послелог с родительным падежом ཀྱི་)	in der Nähe von, in die Nähe von, bei, zu ... hin [Postposition mit ཀྱི་]	6
སྡར་མ་		трусливый, робкий;<br>трус	zitternd, furchtsam, feige;<br>Feigling	6
གནང་བ་		(resp.)<br>давать, даровать, позволять	(resp.)<br>geben, gewähren, erlauben	06 leech
བུ་མོ་		девочка, дочь;<br>см. ལྷའི་བུ་མོ་	'weibliches Kind', Mädchen, Tochter;<br>siehe ལྷའི་བུ་མོ་	06 09
བུད་མེད་		женщина	Frau	6
བྲམ་ཟེ་		брахман	Brahmane	6
བླ་མ་		высший;<br>духовный наставник, лама	der Höhere;<br>der Lehrer, Mönch 	6
དབུལ་པོ་<br />དབུལ་		'некто, кому следует что-то отдать';<br />бедный, бедняк;<br />будущая форма от འབུལ་བ་	'einer, dem (etwas) gegeben werden muss';<br />arm, ein Armer;<br />Futurstamm von འབུལ་བ་	06 Leech
སྦྱིན་པ་	PI བྱིན་	давать, даровать;<br>дар - см. མགོན་མེད་ཟས་སྦྱིན་, ནོར་སྦྱིན་, གནོད་སྦྱིན་, ཡུས་སྦྱིན་པ་, རབ་ཏུ་སྦྱིན་པ་	geben;<br>Gabe - siehe མགོན་མེད་ཟས་སྦྱིན་, ནོར་སྦྱིན་, གནོད་སྦྱིན་, ཡུས་སྦྱིན་པ་, རབ་ཏུ་སྦྱིན་པ་	06 09
མི་	[1] + [2]	[1] человек, мужчина<br />[2] нет [наречие отрицания, ср. 10.3-4]	[1] Mensch, Mann<br />[2] nicht [Negationsadverb, vgl. 10.3-4]	6
དམར་བ་		быть красным;<br>см. དཀར་དམར་བ་	rot sein;<br>siehe དཀར་དམར་བ་	6
སྨྲ་བ་	P སྨྲས་ I སྨྲོས་	говорить, разговаривать;<br>см. མངོན་པར་སྨྲ་བ་, རབ་ཏུ་སྨྲ་བ་	sagen, sprechen;<br>siehe མངོན་པར་སྨྲ་བ་, རབ་ཏུ་སྨྲ་བ་	6
ཚུར་		сюда	hierher	6
མཚོ་		озеро, море;<br>см. རྒྱ་མཚོ་	See;<br>siehe རྒྱ་མཚོ་	6
མཛེས་པ་		быть красивым, сиять;<br>красивый, сияющий;<br>красота;<br>'прекрасный', [эпитет для индийских царей; skr. ursprünglich <i>Ādarśamukha</i>-]	schön sein, erstrahlen;<br>schön, strahlend;<br>Schönheit;<br>'der Schöne', [Eigenname eines indischen Königs; skr. ursprünglich <i>Ādarśamukha</i>-]	06 Leech
ཞུ་བ་	[1] PI ཞུས་<br />[2] P བསུས་ F བཞུ་ I ཞུས་	[1] просить, говорить<br />[2] таять	[1] (zu Höhergestellten) reden; (eine Bitte) vortragen; sagen, mitteilen, ausrichten<br />[2] schmelzen	06 Leech
གཞོན་བ་		молодой	jung	6
འོང་བ་	P འོངས་	приходить;<br>см. ཀུན་ནས་འོང་བ་, ཀུན་ནས་ཉེ་བར་འོང་བ་, ངེས་པར་ཀུན་ནས་འོང་བ་, ཉེ་བར་འོང་བ་, ཡང་དག་པར་ཉེ་བར་འོང་བ་	kommen;<br>siehe ཀུན་ནས་འོང་བ་, ཀུན་ནས་ཉེ་བར་འོང་བ་, ངེས་པར་ཀུན་ནས་འོང་བ་, ཉེ་བར་འོང་བ་, ཡང་དག་པར་ཉེ་བར་འོང་བ་	6
ཡིན་པ་		быть, быть чем-то	sein, etwas sein	6
ཡོད་པ་		быть, наличествоватьཋ<br>མཉན་དུ་-, བག་	sein, vorhanden seinཋ<br>མཉན་དུ་-, བག་-	6
གཤེགས་པ་	I གཤེགས་ und ཤོག་	(уважит. для འགྲོ་བ་, འོང་བ་)<br />идти;<br />уходить, приходить;<br />см. དེ་བཞིན་གཤེགས་པ་	(resp. für འགྲོ་བ་, འོང་བ་)<br />gehen, fortgehen;<br />kommen;<br />siehe དེ་བཞིན་གཤེགས་པ་	06 Leech
སུ་		кто? что? [вопросительное местоимение, vgl. 17.1]	wer? was? [Interrogativpronomen, vgl. 17.1]	6
སུ་ཞིག་		кто? который? кто-бы то ни было, кого-либо[вопросительное и относительное]	wer? welcher? wer auch immer, irgendein [interrogativ und relativ]	6
གསོལ་བ་		(к вышестоящей персоне) говорить;<br />просить [གསོལ་ - без конечной частицы! - после ཏུ་ выражает вежливую просьбу];<br />просьба	(zu einer höhergestellten Person) sprechen, reden;<br />bitten [གསོལ་ - ohne Finalpartikel! - nach ཏུ་ des Verbalstamms drückt die höfliche Bitte aus];<br />Bitte	06 Leech leech
ཀྭ་ཡེ་		о! эй!	Oh! He!	7
ཀྱེ་		о! эй!	Oh! He!	7
དཀོན་པ་		редкий	selten	07 Leech
སྐད་		слово, речь, язык	Wort, Sprache, Rede;<br>Laute, Geheul	7
ཁ་སང་		вчера	gestern	7
ཁྱིམ་བདག་		хозяин дома	Hausherr, Hausvater, Familienoberhaupt	7
ཁྱེད་		ты, вежл. Вы	(resp. für ཁྱོད་)<br>du; ihr; Ihr	7
མཁས་པ་		мудрый, ученый	gebildet, gelehrt, weise, erfahren in (ལ་)<br />gewitzt<br />weise sein, weise werden	07 Leech
གད་མོ་		смех	Lachen, Gelächter<br />siehe བཤད་གད་	07 Leech
གླང་<br>ལང་		бык	Ochse<br>Nebenform zu གླང་	7
བགོ་བ་	PI བགོས་	одежда	sich kleiden, (ein Gewand) anlegen;<br />Kleidung	07 Leech leech
རྒྱང་		расстояние	das Weite, Ferne;<br />Entfernung [= རྒྱང་མ་]	05 07 Leech
སྒྲ་		голос	Stimme	07 Leech leech
བརྒྱ་		100, сто	hundert	7
ང་		я	ich	7
ཆེ་ཁྱད་		величина	'Größenmaß';<br>Größe	07 leech
མཆོད་རྟེན་		ступа	'Verehrungsbehälter' [buddhistischer Reliquienbehälter bis zur Größe eines Tempels; skr. <i>stūpa</i>-]	7
ཉུང་བ་		малый (числом)	klein, gering (an Zahl), wenig (sein);<br>wenig wert (sein)	07 15
སྙིང་		сердце	Herz	7
སྙིང་རྗེ་		сострадание	Mitleid	7
གཏིང་		дно (потока)	Boden, Grund, Tiefe (eines Gewässers)	7
རྟེན་		хранилище	Stütze;<br>Behälter, Schrein;<br>siehe ཆུའི་-, མཆོད་-, འཇིག་-	7
སྟོང་		тысяча, 1000	tausend	07 Leech
མཐུ་		мощь	Kraft, Macht	07 Leech leech
ད་		теперь	jetzt	7
དང་		и	mit;<br>und [Soziativpartikel]	7
བདུན་		семь, 7	sieben	7
བདུན་ཕྲག་		неделя, седьмица	'die sieben (Tage)', Woche	7
མདོ་		сутра, учительный текст	Lehrtext, Lehrrede [skr. <i>sūtra</i>-]	07 Leech
འདི་སྐད་ཅེས་		следующим образом	folgendermaßen	7
འདྲི་བ་	PI དྲིས་	спрашивать	fragen, ausfragen;<br />siehe ཡོངས་སུ་-	7
སྡིག་པ་		греховный; грех	sündhaft;<br />moralische Schlechtigkeit, Sünde	07 Leech leech
ནི་		что до...; что касается...	was ... angeht [Isolationspartikel]	7
ཕྱིར་		[1] Из-за; чтобы, ради [с ཀྱི་] [2] назад, снова, наружу	[1] wegen; um ... willen [kausale und finale Postposition mit ཀྱི་]<br />[2] zurück, wieder, wiederum; aus ... heraus, nach draußen	07 10 13
བ་		корова	Kuh	7
བུ་ཕོ་		сын	'männliches Kind', Sohn	07 leech
བོད་ཡུལ་		Тибет	(das Land) Tibet	7
བློ་		рассудок, ум	Verstand, Verständnis, Erkenntnis;<br>Geisteshaltung, Gesinnung	7
འབུམ་		сто тысяч, 100 000	hunderttausend	07 Leech
མང་པོ་		много	viel, zahlreich [Adjektiv]	7
སྨད་		дитя, сын	das Untere, Niedere, Niedrige [von མ་(2)];<br />Kind, Sohn	07 Leech leech
ཚིག་		слово	Wort	7
ཚེ་		время; жизненный век	Zeit, Lebenszeit;<br />Lebensdauer, Existenz;<br />zur Zeit von ..., während, als [nachgestellte Temporalkonjunktion mit ཀྱི་, verkürzt für ཚེ་ན་]	07 Leech
གཞོན་ནུ་		юноша	jung;<br>Jüngling [Beiname des Bodhisattvas <i>Mañjuśrī</i>, der auf seine Jugendlichkeit anspielt; skr. <i>kumārabhūta</i>-]	7
ཟན་		еда	Speise, Brei	7
གཟུགས་		красивый (облик)	Gestalt, schöne Gestalt	7
བཟང་པོ་		хороший; отличный	gut, schön, edel, trefflich	7
བཟའ་བ་		пропитание, еда	Essen, Speise, Nahrung	7
ཡུན་		время	Zeit	07 Leech
ཡུལ་		страна	Bereich, Gegend, Gebiet, Land;<br>Sinnesgenuss [skr. <i>viṣaya</i>-] - siehe གངས་ཀྱི་ཡུལ་, སྤྱོད་ཡུལ་	7
ཡོན་ཏན་		достоинство, добродетель	Tugend;<br />Vorzug [skr. <i>guṇa</i>-]	07 Leech
རིང་པོ་<br />རིང་		длинный	lang, lange;<br />weit, weit entfernt;<br />siehe རྒྱང་རིང་པོ་, རྒྱང་རིང་བ་, ཡུན་རིང་པོ་(ནས་)<br>= རིང་མོ་	7
ཤིན་ཏུ་		весьма, очень	sehr, äußerst [Wiedergabe von skr. <i>su</i>]	7
སེམས་པ་	P བསམས་ F བསམ་ I སོམ(ས)་, སེམས་		denken, bedenken, sich vorstellen;<br />etwas ansehen als (ཏུ་);<br />siehe སྙམ་དུ་སེམས་པ་, རྣམ་པར་སེམས་པ་	7
སླར་		думать	(eleg. für ཕྱིར་)<br>wieder, wiederum;<br>zurück;<br>wegen, um ... willen (?)	07 Leech
གསར་པ་		основа повелительного наклонения глагола གསར་བ་	neu, frisch [von གསར་བ་ neu, frisch (sein)]	07 10
གསོད་པ་	P བསད་ I སོད་ F གསད་	убивать	töten;<br>siehe ཁྱད་དུ་གསོད་པ་, ཉེ་བར་གསོད་པ་	07 09
བསམ་པ་<br />བསམ་		мысль	Gedanke	07 11
རྐུ་བ་	P བརྐུས་ F བརྐུ་ I རྐུས་	грабить, красть	stehlen, rauben	08 Leech
རྐུན་པོ་		вор	Dieb	8
གུས་པ་		уважение, почет	sich respektvoll betragen;<br />respektvoll;<br />Respekt, Ergebenheit, Hingabe	08 Leech
གྲི་		нож	Messer;<br>siehe རལ་གྲི་	8
དགེ་བ་		благой; добродетельный	heilvoll, tugendhaft;<br>Tugend;<br>verdienstvolles Werk	08 Leech
ངན་པ་		плохой, дурной	schlecht, böse;<br>siehe སྐྱེ་ངན་, སྟས་ངན་, མྱ་ངན་, རིགས་ངན་	8
དངུལ་		деньги; серебро	Silber, Silberstück;<br>Geld	8
ཆགས་པ་	[1] + [2]	страсть	[1] lieben, verlangen nach (ལ་); Liebe, Leidenschaft, Verlangen; siehe འདོད་ཆགས་<br />[2] erzeugt werden, entstehen; siehe སྲོག་ཆགས་	08 12 Leech leech
ཆགས་བྲལ་		бесстрастный	leidenschaftslos	8
ཆུད་པ་		проникать в	eindringen in	08 Leech leech
ཆོམ་		грабеж, разбой	Raub, Diebstahl	08 Leech
ཆོམ་རྐུན་		вор	Dieb	8
མཆོད་པ་		почитать	ehren, verehren;<br />Ehrung, Verehrung; Opfer	08 13
འཇུག་པ་	[1] P བཅུག་ F གཞུག་ I ཆུག་<br />[2] PI ཞུགས་	вводить; впускать	[1] eintreten lassen; hineinstecken in, einführen in (ལ་); zu etwas (ཏུ་) veranlassen<br />[2]&nbsp;eintreten, betreten;<br />an eine Sache herangehen, mit etwas beginnen;<br />auf etwas einstürzen, zujagen;<br />eintreten, geschehen;<br />Eintritt, Beginn;<br />sich verhalten, betragen;<br />Wandel, Verhaltensweise<br />siehe ཀུན་-, མངོན་པར་-, རྗེས་སུ་-, དམ་མིན་-	08 10 13 14 leech
འཇོམས་པ་	P བཅོམ་ F གཞོས་&nbsp;&nbsp;I ཆོམ(ས)་	преодолевать, побеждать, уничтожать	bezwingen, besiegen, schlagen;<br>vernichten	08 Leech
ཉོ་བ་	PI ཉོས་	покупать	kaufen	8
སྟོད་པ་	PF བསྟོད་	хвалить; славить	loben, preisen;<br />siehe མངོན་པར་-	08 Leech
སྟོབས་		сила, крепость	Kraft, Stärke [skr. <i>bala</i>-]	8
སྟོར་བ་		пропадать, теряться	verlorengehen	8
བསྟོད་པ་		основа прошедшего времени от སྟོད་པ་ (покупать)	Lob, Preis	08 Leech
ཐུབ་པ་		мочь, быть в состоянии; сравняться с (орудный падеж)	können, vermögen;<br />gleich sein an (ཀྱིས་);<br />heilig;<br />Asket, Heiliger [skr. <i>muni</i>-]<br />siehe དཀའ་ཐུབ་(པ་), དཀའ་ཐུབ་ཀྱི་ནོར་ཅན་	08 Leech
ཐོབ་པ་		добиться, получить	erlangen, bekommen<br />= འཐོབ་པ་	08 13
དོགས་པ་		бояться (орудный падеж)	sich fürchten vor (ཀྱིས་);<br />Furcht	08 Leech leech
བདེན་པ་		истинный	wahr (sein);<br />Wahrheit	8
ལྡན་པ་		снабженный чем-то (དང)	versehen (sein) mit (དང་ oder ཏུ་);<br />siehe དགའ་ལྡན་, བཅོམ་ལྡན་འདས་	08 09
གནས་པ་		жить, пребывать	wohnen, weilen, leben;<br>stehen, sich aufhalten, sich befinden;<br>sein;<br>siehe མངོན་པར་གནས་པ་, རྣམ་པར་གནས་པ་, ལྷག་པར་གནས་པ་	08 Leech
སྣད་		повреждение	Verletzung	08 leech
སྣད་པ་	PF བསྣད་ I སྣོད་	повреждать, вредить	verletzen	8
དཔྱོད་པ་	P དཔྱད་	основа прошедшего времени от བཔྱོད་པ་	prüfen	8
སྤྱད་པ་		Вести себя, как-то поступать<br />вариант формы སྤྱོད་པ་;<br />см. ཉེ་བར་སྤྱད་པ་	sich verhalten, sich betragen, wandeln<br />Nebenform zu སྤྱོད་པ་;<br />siehe ཉེ་བར་སྤྱད་པ་	08 Leech
སྤྱོད་ཚུལ་		поведение, манеры	Verhaltensweise, Lebensweise, Lebenswandel	8
ཕྱག་		(почт. стиль) рука; почитание	(resp. für ལག་པ་) Hand;<br />Verehrung	8
ཕྱག་འཚལ་བ་		выказывать почтение, склоняться перед кем-то	Verehrung bekunden, sich verneigen vor (ལ་)	8
བ་ལང་<br>བ་གླང་		бык	Ochse	8
བག་མེད་པ་		беспечный, беззастенчивый; беспечность	sorglos, unachtsam (sein);<br />Sorglosigkeit, Unachtsamkeit, Achtlosigkeit [skr. <i>pramāda</i>-]	8
བྱང་ཆུབ་		будд. Пробуждение	Erleuchtung [skr. <i>bodhi</i>-]	8
བྱང་བ་		чистый, очищенный	rein, geläutert (sein)	08 Leech
བྱིས་པ་		дитя; детский	kindlich (sein);<br />Kind	08 Leech
འབྱང་བ་	P བྱང་	чистый, очищать	reinigen, läutern	08 Leech leech
མིག་		глаз	Auge;<br />siehe རྐང་མིག་, ལྷའི་མིག་	8
ཚུལ་		способ действия; поведение	Art und Weise, Verhalten;<br />siehe སྤྱོད་ཚུལ་	08 Leech
འཙལ་བ་		желать, вожделеть	wünschen, verlangen	08 Leech
ཞིང་པ་		земледелец, крестьянин	Ackersmann, Bauer	8
རལ་		вариант форм དྲལ་, ཧྲལ рвать на части	Nebenform zu དྲལ་ und ཧྲལ་, (in Stücke) zerrissen, Perfekt zu འདྲལ་བ་	8
རལ་གྲི་		"меч (""разрывающий нож"")"	'Zerreißmesser', Schwert	8
རིགས་		род; каста	Art, Geschlecht, Kaste;<br>siehe ཆོ་རིགས་	8
རིགས་ངན་		"палач , (""низкокастовый"")"	'von schlechter Kaste', Henker	8
རིགས་པ་		уместный, подходящий, подходить	passend, angemessen (sein);<br>Angemessenheit	8
རིན་		цена, стоимость	Preis, Wert	8
རིན་ཆེན་		драгоценный камень; нечто большой стоимости	'von großem Wert', Juwel, Edelstein	8
རིམ་པ་		череда, последовательность	Reihe, Reihenfolge	8
ལས་		деяние, поступок [skr. <i>karman</i>-]	Tat, Werk;<br />Karma (Vergeltungskausalität) [skr. <i>karman</i>-]	8
